datetime,snow,snowdepth,id_borough,datetime_snow
2018-01-01,0.1,0.4,0,20180101
2018-01-02,0,0.1,0,20180102
2018-01-03,0.8,0.2,0,20180103
2018-01-04,4.2,2.3,0,20180104
2018-01-05,2.3,6.6,0,20180105
2018-01-06,0,6.5,0,20180106
2018-01-07,0.3,6.2,0,20180107
2018-01-08,0.2,5.5,0,20180108
2018-01-09,0,4.1,0,20180109
2018-01-10,0,3.2,0,20180110
2018-01-11,0,1.9,0,20180111
2018-01-12,0.2,0.4,0,20180112
2018-01-13,0,0,0,20180113
2018-01-14,0,0,0,20180114
2018-01-15,0,0,0,20180115
2018-01-16,0,0,0,20180116
2018-01-17,0,0,0,20180117
2018-01-18,0.4,0.2,0,20180118
2018-01-19,0,0.3,0,20180119
2018-01-20,0,0,0,20180120
2018-01-21,0,0,0,20180121
2018-01-22,0,0,0,20180122
2018-01-23,0,0,0,20180123
2018-01-24,0,0,0,20180124
2018-01-25,0,0,0,20180125
2018-01-26,0,0,0,20180126
2018-01-27,0,0,0,20180127
2018-01-28,0,0,0,20180128
2018-01-29,0.8,0.2,0,20180129
2018-01-30,0.5,0.8,0,20180130
2018-01-31,0,0.1,0,20180131
2018-01-01,0,0,1,20180101
2018-01-02,0,0,1,20180102
2018-01-03,0.74,0.74,1,20180103
2018-01-04,4.29,5.02,1,20180104
2018-01-05,2.31,7.33,1,20180105
2018-01-06,0,7.04,1,20180106
2018-01-07,0,6.89,1,20180107
2018-01-08,0,6.69,1,20180108
2018-01-09,0,5.76,1,20180109
2018-01-10,0,4.48,1,20180110
2018-01-11,0,3.2,1,20180111
2018-01-12,0.72,1.18,1,20180112
2018-01-13,0,0.39,1,20180113
2018-01-14,0,0,1,20180114
2018-01-15,0,0,1,20180115
2018-01-16,0,0,1,20180116
2018-01-17,0,0,1,20180117
2018-01-18,0,0,1,20180118
2018-01-19,0,0,1,20180119
2018-01-20,0,0,1,20180120
2018-01-21,0,0,1,20180121
2018-01-22,0,0,1,20180122
2018-01-23,0,0,1,20180123
2018-01-24,0,0,1,20180124
2018-01-25,0,0,1,20180125
2018-01-26,0,0,1,20180126
2018-01-27,0,0,1,20180127
2018-01-28,0,0,1,20180128
2018-01-29,0.74,0.74,1,20180129
2018-01-30,0.44,1.18,1,20180130
2018-01-31,0,0.39,1,20180131
2018-01-01,0,0,2,20180101
2018-01-02,0,0,2,20180102
2018-01-03,0.8,0.2,2,20180103
2018-01-04,4.2,2.3,2,20180104
2018-01-05,2.3,6.5,2,20180105
2018-01-06,0,6,2,20180106
2018-01-07,0,5.7,2,20180107
2018-01-08,0,5.2,2,20180108
2018-01-09,0,4.9,2,20180109
2018-01-10,0,3.8,2,20180110
2018-01-11,0,2.5,2,20180111
2018-01-12,0,0.2,2,20180112
2018-01-13,0,0,2,20180113
2018-01-14,0,0,2,20180114
2018-01-15,0,0,2,20180115
2018-01-16,0,0,2,20180116
2018-01-17,0,0,2,20180117
2018-01-18,0.4,0.2,2,20180118
2018-01-19,0,0.3,2,20180119
2018-01-20,0,0,2,20180120
2018-01-21,0,0,2,20180121
2018-01-22,0,0,2,20180122
2018-01-23,0,0,2,20180123
2018-01-24,0,0,2,20180124
2018-01-25,0,0,2,20180125
2018-01-26,0,0,2,20180126
2018-01-27,0,0,2,20180127
2018-01-28,0,0,2,20180128
2018-01-29,0.8,0.2,2,20180129
2018-01-30,0.5,0.7,2,20180130
2018-01-31,0,0.1,2,20180131
2018-01-01,0,0.52,3,20180101
2018-01-02,0,0.39,3,20180102
2018-01-03,0.74,0.74,3,20180103
2018-01-04,5.08,5.82,3,20180104
2018-01-05,2.79,8.61,3,20180105
2018-01-06,0,7.62,3,20180106
2018-01-07,0,7.62,3,20180107
2018-01-08,0.59,7.56,3,20180108
2018-01-09,0,6.59,3,20180109
2018-01-10,0,5.02,3,20180110
2018-01-11,0,3.23,3,20180111
2018-01-12,0.13,1.39,3,20180112
2018-01-13,0,0.3,3,20180113
2018-01-14,0,0,3,20180114
2018-01-15,0,0,3,20180115
2018-01-16,0,0,3,20180116
2018-01-17,0,0,3,20180117
2018-01-18,0,0,3,20180118
2018-01-19,0,0,3,20180119
2018-01-20,0,0,3,20180120
2018-01-21,0,0,3,20180121
2018-01-22,0,0,3,20180122
2018-01-23,0,0,3,20180123
2018-01-24,0,0,3,20180124
2018-01-25,0,0,3,20180125
2018-01-26,0,0,3,20180126
2018-01-27,0,0,3,20180127
2018-01-28,0,0,3,20180128
2018-01-29,0.74,0.74,3,20180129
2018-01-30,0.53,1.27,3,20180130
2018-01-31,0,0.44,3,20180131
2018-01-01,0,1.18,4,20180101
2018-01-02,0,0,4,20180102
2018-01-03,0,0,4,20180103
2018-01-04,7.06,7.06,4,20180104
2018-01-05,3.53,10.6,4,20180105
2018-01-06,0,7.09,4,20180106
2018-01-07,0,6.3,4,20180107
2018-01-08,0,5.91,4,20180108
2018-01-09,0,5.38,4,20180109
2018-01-10,0,3.81,4,20180110
2018-01-11,0,1.84,4,20180111
2018-01-12,0,0.39,4,20180112
2018-01-13,0,0,4,20180113
2018-01-14,0,0,4,20180114
2018-01-15,0,0,4,20180115
2018-01-16,0,0,4,20180116
2018-01-17,0,0,4,20180117
2018-01-18,0,0,4,20180118
2018-01-19,0,0,4,20180119
2018-01-20,0,0,4,20180120
2018-01-21,0,0,4,20180121
2018-01-22,0,0,4,20180122
2018-01-23,0,0,4,20180123
2018-01-24,0,0,4,20180124
2018-01-25,0,0,4,20180125
2018-01-26,0,0,4,20180126
2018-01-27,0,0,4,20180127
2018-01-28,0,0,4,20180128
2018-01-29,0.74,0.74,4,20180129
2018-01-30,0.44,1.18,4,20180130
2018-01-31,0,0.39,4,20180131
